dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
176,85962,HP1375,,E,15547264,
176,85962,HP1374,,NE,15547264,
176,85962,HP1373,,NE,15547264,
176,85962,HP1372,,NE,15547264,
176,85962,HP1371,,NE,15547264,
176,85962,HP1364,,NE,15547264,
176,85962,HP1363,,NE,15547264,
176,85962,HP1362,,NE,15547264,
176,85962,HP1361,,NE,15547264,
176,85962,HP1360,,E,15547264,
176,85962,HP1359,,E,15547264,
176,85962,HP1358,,NE,15547264,
176,85962,HP1357,,E,15547264,
176,85962,HP1356,,NE,15547264,
176,85962,HP1355,,NE,15547264,
176,85962,HP1354,,NE,15547264,
176,85962,HP1353,,NE,15547264,
176,85962,HP1351,,NE,15547264,
176,85962,HP1352,,NE,15547264,
176,85962,HP1350,,NE,15547264,
176,85962,HP1349,,E,15547264,
176,85962,HP1348,,E,15547264,
176,85962,HP1347,,NE,15547264,
176,85962,HP1346,,NE,15547264,
176,85962,HP1345,,NE,15547264,
176,85962,HP1343,,NE,15547264,
176,85962,HP1342,,NE,15547264,
176,85962,HP1341,,NE,15547264,
176,85962,HP1339,,E,15547264,
176,85962,HP1340,,E,15547264,
176,85962,HP1338,,E,15547264,
176,85962,HP1337,,NE,15547264,
176,85962,HP1336,,NE,15547264,
176,85962,HP1335,,NE,15547264,
176,85962,HP1333,,NE,15547264,
176,85962,HP1332,,NE,15547264,
176,85962,HP1331,,NE,15547264,
176,85962,HP1329,,NE,15547264,
176,85962,HP1328,,NE,15547264,
176,85962,HP1327,,NE,15547264,
176,85962,HP1325,,NE,15547264,
176,85962,HP1324,,NE,15547264,
176,85962,HP1322,,NE,15547264,
176,85962,HP1321,,E,15547264,
176,85962,HP1319,,NE,15547264,
176,85962,HP1318,,E,15547264,
176,85962,HP1315,,NE,15547264,
176,85962,HP1314,,E,15547264,
176,85962,HP1313,,E,15547264,
176,85962,HP1311,,E,15547264,
176,85962,HP1310,,NE,15547264,
176,85962,HP1308,,E,15547264,
176,85962,HP1307,,E,15547264,
176,85962,HP1305,,NE,15547264,
176,85962,HP1304,,NE,15547264,
176,85962,HP1302,,E,15547264,
176,85962,HP1301,,E,15547264,
176,85962,HP1300,,E,15547264,
176,85962,HP1298,,E,15547264,
176,85962,HP1297,,E,15547264,
176,85962,HP1296,,NE,15547264,
176,85962,HP1295,,NE,15547264,
176,85962,HP1293,,NE,15547264,
176,85962,HP1292,,E,15547264,
176,85962,HP1291,,NE,15547264,
176,85962,HP1289,,E,15547264,
176,85962,HP1287,,NE,15547264,
176,85962,HP1286,,NE,15547264,
176,85962,HP1285,,NE,15547264,
176,85962,HP1284,,NE,15547264,
176,85962,HP1282,,NE,15547264,
176,85962,HP1281,,NE,15547264,
176,85962,HP1280,,NE,15547264,
176,85962,HP1279,,NE,15547264,
176,85962,HP1278,,NE,15547264,
176,85962,HP1277,,NE,15547264,
176,85962,HP1276,,NE,15547264,
176,85962,HP1275,,NE,15547264,
176,85962,HP1274,,NE,15547264,
176,85962,HP1273,,NE,15547264,
176,85962,HP1272,,NE,15547264,
176,85962,HP1270,,E,15547264,
176,85962,HP1271,,NE,15547264,
176,85962,HP1269,,NE,15547264,
176,85962,HP1268,,E,15547264,
176,85962,HP1267,,NE,15547264,
176,85962,HP1266,,E,15547264,
